p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.654733815678052,0.302,0.021,0,Fibroblasts,Bnc2
0,0.6539591307806942,0.948,0.835,0,Fibroblasts,Eef1d
0,0.6538770643849328,0.541,0.209,0,Fibroblasts,Gem
0,0.6508480505255412,0.647,0.377,0,Fibroblasts,Mcrip1
0,0.6504369368123011,0.979,0.716,0,Fibroblasts,S100a11
0,0.6486231901182333,0.881,0.829,0,Fibroblasts,Ier2
0,0.6472283599451865,0.911,0.698,0,Fibroblasts,Sfr1
0,0.6470360299315288,0.993,0.988,0,Fibroblasts,Oaz1
0,0.6451981861561232,0.822,0.572,0,Fibroblasts,Rer1
0,0.643452173056902,0.774,0.576,0,Fibroblasts,Ndufs7
0,0.6410513815897655,0.657,0.427,0,Fibroblasts,Coa3
0,0.6398453461271008,0.899,0.625,0,Fibroblasts,Nfia
0,0.6395706565357882,0.551,0.303,0,Fibroblasts,Ndufa5
0,0.639463007695128,0.32,0.006,0,Fibroblasts,Abca8b
0,0.6381776316503373,0.78,0.529,0,Fibroblasts,H2afv
0,0.6370797676245605,0.368,0.081,0,Fibroblasts,Col4a4
0,0.6341278699471268,0.723,0.462,0,Fibroblasts,Ufc1
0,0.6309551700811631,0.387,0.036,0,Fibroblasts,Oaf
0,0.6293657467708613,0.502,0.164,0,Fibroblasts,Ltbp3
0,0.6291863749682571,0.464,0.106,0,Fibroblasts,Rcn1
0,0.6275256474007246,0.354,0.017,0,Fibroblasts,Prrx2
0,0.6271689351997658,0.983,0.897,0,Fibroblasts,Anxa5
0,0.6269849288261641,0.65,0.306,0,Fibroblasts,Crip2
0,0.626825814849849,0.467,0.142,0,Fibroblasts,Pkd2
0,0.625871125587663,0.72,0.451,0,Fibroblasts,Ech1
0,0.6257439017921647,0.91,0.786,0,Fibroblasts,Ndufa4
0,0.6251691361798873,0.63,0.342,0,Fibroblasts,Kdelr2
0,0.6234822969105094,0.488,0.156,0,Fibroblasts,Fam114a1
0,0.6215019755091109,0.801,0.507,0,Fibroblasts,Hcfc1r1
0,0.6202306270116769,0.93,0.774,0,Fibroblasts,Arf5
0,0.617323016367203,0.998,0.996,0,Fibroblasts,Rplp0
0,0.6168174895778437,0.307,0.033,0,Fibroblasts,Thy1
0,0.616765795416603,0.841,0.633,0,Fibroblasts,Fkbp2
